Match_Status,RefId,LocalDate,paymentMethod1,Item_SubTotal,Order_SubTotal,SubTotal_Difference,Item_Discount,Order_Discount,Discount_Difference,Item_Total,Order_Total,Total_Difference,Item_Tax,Order_Tax,Tax_Difference,Is_Anomaly
❌ Anomaly,974d3fd1-5922-42a8-a761-b28e8263ea7e,2026-03-10,GoFood - Delivery,71000.0,71000.0,0.0,0.0,0.0,0.0,57522.52,71000.0,-13477.48,6738.74,6738.74,0.0,true
❌ Anomaly,9bb774bd-8566-4331-8d1b-a165af6bf8ba,2026-03-10,ShopeeFood,50000.0,50000.0,0.0,0.0,0.0,0.0,40909.09,50000.0,-9090.91,4545.45,4545.45,0.0,true
❌ Anomaly,b3c248c1-8f3a-4ede-a407-295b87c90ecb,2026-03-10,GoFood - Delivery,112000.0,112000.0,0.0,0.0,0.0,0.0,90792.79,112000.0,-21207.21,10603.6,10603.6,0.0,true
❌ Anomaly,b5a96a5c-5c91-46a7-9528-83677b5aabd3,2026-03-10,BRI,29000.0,29000.0,0.0,0.0,0.0,0.0,23727.27,29000.0,-5272.73,2636.36,2636.36,0.0,true
❌ Anomaly,b72cc9e4-439f-4f09-aff9-44872f18a4d0,2026-03-10,GoFood - Delivery,56000.0,56000.0,0.0,0.0,0.0,0.0,45495.5,56000.0,-10504.5,5252.25,5252.25,0.0,true
❌ Anomaly,c1a170eb-960d-442e-b92c-08c472901ef4,2026-03-10,GrabFood - Delivery,57001.0,57001.0,0.0,0.0,0.0,0.0,46635.0,57001.0,-10366.0,5183.0,5183.0,0.0,true
❌ Anomaly,ca09c5a4-2fbc-4c20-82cd-506cbc8b3607,2026-03-10,GrabFood - Delivery,172000.0,172000.0,0.0,0.0,0.0,0.0,140728.0,172000.0,-31272.0,15636.0,15636.0,0.0,true
❌ Anomaly,d1a92f40-58ae-4ea2-b505-bbf505c5edc1,2026-03-10,Other,66818.18,66818.18,0.0,35000.0,31818.18,3181.82,25454.55,35000.0,-9545.45,3181.82,3181.82,0.0,true
❌ Anomaly,d8d92937-91f1-41e8-a188-8fc3906b4b6b,2026-03-10,GoFood - Delivery,,160000.0,-160000.0,,40000.0,-40000.0,,120000.0,-120000.0,,15360.36,-15360.36,true
❌ Anomaly,df4502f9-0a3b-47bb-8fae-7a84d9a89c51,2026-03-10,GrabFood - Delivery,400003.0,400003.0,0.0,0.0,0.0,0.0,327271.0,400003.0,-72732.0,36366.0,36366.0,0.0,true
❌ Anomaly,e857c505-789a-4ebd-b594-2ce231dd831f,2026-03-10,BCA,52000.0,52000.0,0.0,0.0,0.0,0.0,42545.45,52000.0,-9454.55,4727.27,4727.27,0.0,true
❌ Anomaly,e9d70eb0-0b9a-46bd-9576-453f8f09cc78,2026-03-10,ShopeeFood,33000.0,33000.0,0.0,0.0,0.0,0.0,27000.0,33000.0,-6000.0,3000.0,3000.0,0.0,true
❌ Anomaly,f94b7e8d-4eae-443e-b7c1-60d00e721442,2026-03-10,ShopeeFood,33136.36,33136.36,0.0,0.0,8636.36,-8636.36,28681.82,24500.0,4181.82,2227.27,2227.27,0.0,true
❌ Anomaly,fc24c539-abc1-4330-b6c6-50e872db1337,2026-03-10,Shopeepay (Eksternal QRIS),27263.64,27263.64,0.0,19100.0,17363.64,1736.36,6363.64,9900.0,-3536.36,900.0,900.0,0.0,true
